1729519069218	Sync.SyncScheduler	DEBUG	Next sync in 600000 ms. (why=schedule)
1729519069220	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519069220	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519069896	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1729519069896	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1729519069899	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1729519069900	Sync.Engine.Tabs	INFO	Posting 1 records of 14295 bytes with batch=true
1729519069900	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519069900	Sync.Collection	DEBUG	POST Length: 14295
1729519070269	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1729519070278	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1729519071019	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1729519071029	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519071035	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519071574	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519072413	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:fxa_status
1729519072414	FirefoxAccounts	DEBUG	fxa_status received
1729519072414	FirefoxAccounts	DEBUG	service: sync
1729519072414	FirefoxAccounts	DEBUG	is private browsing: false
1729519072677	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519072682	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519072784	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:loaded
1729519072784	FirefoxAccounts	WARN	Unrecognized FxAccountsWebChannel command: fxaccounts:loaded
1729519075532	FirefoxAccounts	DEBUG	FxAccountsWebChannel message received: fxaccounts:pair_preferences
1729519075536	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519075549	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519075587	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519075663	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519075663	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1729519075674	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519075674	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519075674	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1729519075674	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
