1730872371478	addons.xpi	WARN	Addon with ID default-theme@mozilla.org already installed, older version will be disabled
1730872371554	Sync.Status	INFO	Resetting Status.
1730872371554	Sync.Status	DEBUG	Status.service: undefined => success.status_ok
1730872371554	FirefoxAccounts	TRACE	initializing new storage manager
1730872371554	FirefoxAccounts	TRACE	starting fetch of json user data
1730872371554	Sync.SyncScheduler	TRACE	Setting SyncScheduler policy values to defaults.
1730872371554	Sync.SyncScheduler	DEBUG	Clearing sync triggers and the global score.
1730872371555	Sync.Service	INFO	Loading Weave 1.134.0
1730872371555	Sync.Engine.Clients	DEBUG	Engine constructed
1730872371555	Sync.Engine.Clients	DEBUG	Resetting clients last sync time
1730872371555	Sync.Engine.Workspaces	DEBUG	Engine constructed
1730872371556	Sync.Engine.Addons	DEBUG	Engine constructed
1730872371581	FirefoxAccounts	TRACE	finished fetch of json user data - took: 27
1730872371582	FirefoxAccounts	DEBUG	reading secure storage with existing: []
1730872371582	FirefoxAccounts	TRACE	starting fetch of user data from the login manager
1730872371612	FirefoxAccounts	DEBUG	secure read fetched items: ["scopedKeys"]
1730872371612	FirefoxAccounts	TRACE	initializing of new storage manager done
1730872371612	Sync.Engine.Workspaces	DEBUG	SyncEngine initialized: workspaces
1730872371616	Sync.Engine.Addons	DEBUG	SyncEngine initialized: addons
1730872371671	Sync.Engine.Passwords	DEBUG	Engine constructed
1730872371696	Sync.Engine.Passwords	DEBUG	SyncEngine initialized: passwords
1730872371697	Sync.Engine.Prefs	DEBUG	Engine constructed
1730872371727	Sync.Engine.Prefs	DEBUG	SyncEngine initialized: prefs
1730872371728	Sync.Engine.Bookmarks	DEBUG	Engine constructed
1730872371737	Sync.Engine.Bookmarks	DEBUG	SyncEngine initialized: bookmarks
1730872371738	Sync.Engine.Forms	DEBUG	Engine constructed
1730872371739	Sync.Engine.Forms	DEBUG	SyncEngine initialized: forms
1730872371740	Sync.Engine.History	DEBUG	Engine constructed
1730872371743	Sync.Engine.History	DEBUG	SyncEngine initialized: history
1730872371744	Sync.Engine.Tabs	DEBUG	Engine constructed
1730872371746	Sync.Engine.Tabs	DEBUG	SyncEngine initialized: tabs
1730872371748	Sync.Engine.Tabs	INFO	Got a bridged engine!
1730872371749	Sync.Engine.CreditCards	DEBUG	Engine constructed
1730872371751	Sync.Engine.CreditCards	DEBUG	SyncEngine initialized: creditcards
1730872371751	Sync.Engine.Extension-Storage	DEBUG	Engine constructed
1730872371754	Sync.Engine.Extension-Storage	DEBUG	SyncEngine initialized: extension-storage
1730872371754	Sync.Service	INFO	Mozilla/5.0 (X11; Linux x86_64; rv:132.0) Gecko/20100101 Firefox/132.0
1730872371754	Sync.AddonsReconciler	INFO	Registering as Add-on Manager listener.
1730872371754	Sync.AddonsReconciler	DEBUG	Adding change listener.
1730872371754	Sync.Engine.History.Tracker	INFO	Adding Places observer.
1730872371757	FirefoxAccounts	DEBUG	FxAccountsProfileClient: Initialized
1730872371757	FirefoxAccounts	TRACE	Command queue observer created
1730872371757	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1730872371757	FirefoxAccounts	DEBUG	FxAccountsProfileClient: Requested profile
1730872371757	FirefoxAccounts	DEBUG	getOAuthToken enter
1730872371757	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1730872371757	FirefoxAccounts	TRACE	getCachedToken returning cached token
1730872371757	FirefoxAccounts	DEBUG	getOAuthToken returning a cached token
1730872371758	Services.Common.RESTRequest	DEBUG	GET request to https://profile.accounts.firefox.com/v1/profile
1730872371845	Sync.Service	DEBUG	User-Agent: Zen/1.0.1-a.17 (Linux x86_64) FxSync/1.134.0.20241031223955.desktop
1730872371845	Sync.Service	INFO	Starting sync at 2024-11-06 12:52:51 in browser session _7Wg5M3Nlllm
1730872371845	Sync.Service	DEBUG	In sync: should login.
1730872371845	Sync.Service	INFO	User logged in successfully - verifying login.
1730872371845	Sync.SyncAuthManager	DEBUG	unlockAndVerifyAuthState already has (or can fetch) sync keys
1730872371845	Sync.Status	DEBUG	Status.login: success.login => success.status_ok
1730872371845	Sync.Status	DEBUG	Status.service: success.status_ok => error.login.failed
1730872371845	Sync.Service	DEBUG	Fetching unlocked auth state returned success.status_ok
1730872371845	Sync.SyncAuthManager	INFO	Getting sync key
1730872371845	FirefoxAccounts	DEBUG	getOAuthToken enter
1730872371845	FirefoxAccounts	TRACE	getCachedToken returning cached token
1730872371845	FirefoxAccounts	DEBUG	getOAuthToken returning a cached token
1730872371845	Sync.SyncAuthManager	INFO	Getting a sync token from: https://token.services.mozilla.com/1.0/sync/1.5
1730872371845	Sync.SyncAuthManager	DEBUG	Getting a token using OAuth
1730872371845	Services.Common.TokenServerClient	DEBUG	Beginning OAuth token exchange: https://token.services.mozilla.com/1.0/sync/1.5
1730872371846	Services.Common.RESTRequest	DEBUG	GET request to https://token.services.mozilla.com/1.0/sync/1.5
1730872371881	FirefoxAccounts	DEBUG	FxAccountsWebChannel registered: account_updates with origin https://accounts.firefox.com
1730872371934	FirefoxAccounts	INFO	fetching updated device list
1730872371937	Services.Common.RESTRequest	DEBUG	GET request to https://api.accounts.firefox.com/v1/account/devices?filterIdleDevicesTimestamp=1729057971935
1730872372307	Services.Common.RESTRequest	DEBUG	GET https://token.services.mozilla.com/1.0/sync/1.5 401
1730872372307	Services.Common.TokenServerClient	DEBUG	Got token response: 401
1730872372308	Services.Common.TokenServerClient	INFO	Server-reported error: {"location":"body","name":"","description":"Unauthorized"}
1730872372308	Services.Common.RESTRequest	DEBUG	POST request to https://api.accounts.firefox.com/v1/oauth/destroy
1730872372308	Services.Common.RESTRequest	DEBUG	POST Length: 969
1730872372309	FirefoxAccounts	DEBUG	_updateAccountData with items: ["oauthTokens"]
