1731611332044	Sync.SyncScheduler	DEBUG	Next sync in 600000 ms. (why=schedule)
1731611431287	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1731611431656	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1731611433079	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1731611436407	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1731611436407	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1731611436415	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1731611436416	Sync.Engine.Tabs	INFO	Posting 1 records of 19671 bytes with batch=true
1731611436416	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1731611436416	Sync.Collection	DEBUG	POST Length: 19671
1731611436727	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1731611436728	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1731611488165	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1731611488697	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1731611493240	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1731611493240	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1731611493268	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1731611493270	Sync.Engine.Tabs	INFO	Posting 1 records of 19799 bytes with batch=true
1731611493270	FirefoxAccounts	DEBUG	FxAccountsProfileClient: Requested profile
1731611493270	FirefoxAccounts	DEBUG	getOAuthToken enter
1731611493270	FirefoxAccounts	TRACE	getCachedToken returning cached token
1731611493270	FirefoxAccounts	DEBUG	getOAuthToken returning a cached token
1731611493270	Services.Common.RESTRequest	DEBUG	GET request to https://profile.accounts.firefox.com/v1/profile
1731611493271	Sync.Collection	DEBUG	POST Length: 19799
1731611493516	Services.Common.RESTRequest	DEBUG	GET https://profile.accounts.firefox.com/v1/profile 304
1731611493623	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1731611493624	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1731611566480	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1731611566484	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1731611566533	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1731611571507	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1731611571507	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1731611571510	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1731611571511	Sync.Engine.Tabs	INFO	Posting 1 records of 19799 bytes with batch=true
1731611571512	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1731611571512	Sync.Collection	DEBUG	POST Length: 19799
1731611571843	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1731611571861	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1731611582066	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1731611587078	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1731611587078	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1731611587088	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1731611587089	Sync.Engine.Tabs	INFO	Posting 1 records of 19799 bytes with batch=true
1731611587089	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1731611587089	Sync.Collection	DEBUG	POST Length: 19799
1731611587478	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1731611587492	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1731611588594	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1731611593671	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1731611593671	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1731611593687	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1731611593689	Sync.Engine.Tabs	INFO	Posting 1 records of 19799 bytes with batch=true
1731611593689	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1731611593689	Sync.Collection	DEBUG	POST Length: 19799
1731611594080	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1731611594090	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1731611610124	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1731611615144	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1731611615144	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1731611615154	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1731611615155	Sync.Engine.Tabs	INFO	Posting 1 records of 19799 bytes with batch=true
1731611615155	FirefoxAccounts	DEBUG	FxAccountsProfileClient: Requested profile
1731611615155	FirefoxAccounts	DEBUG	getOAuthToken enter
1731611615155	FirefoxAccounts	TRACE	getCachedToken returning cached token
1731611615155	FirefoxAccounts	DEBUG	getOAuthToken returning a cached token
1731611615155	Services.Common.RESTRequest	DEBUG	GET request to https://profile.accounts.firefox.com/v1/profile
1731611615156	Sync.Collection	DEBUG	POST Length: 19799
1731611615394	Services.Common.RESTRequest	DEBUG	GET https://profile.accounts.firefox.com/v1/profile 304
1731611615485	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/tabs?batch=true&commit=true
1731611615494	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1731611638948	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1731611638956	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1731611642353	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1731611643982	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1731611643982	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1731611643998	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1731611643998	Sync.Engine.Tabs	INFO	Posting 1 records of 19799 bytes with batch=true
1731611643999	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
